#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             BlockWeight         BlockCPU            AcceptRatio         
        59   -2.8480790694e+00    8.2623702902e+00   -6.4495816141e+00    3.6015025446e+00    1.1192658086e+00   -7.5688474227e+00    1.6000000000e+04    6.3141487313e-02    8.7403125000e-01
        60   -2.8226599563e+00    8.1300524768e+00   -6.6025308731e+00    3.7798709168e+00    1.1594975198e+00   -7.7620283929e+00    1.6000000000e+04    6.2322283344e-02    8.7025000000e-01
        61   -2.8406518350e+00    8.2275014929e+00   -6.6798199207e+00    3.8391680858e+00    1.1276756340e+00   -7.8074955548e+00    1.6000000000e+04    6.1882173606e-02    8.6959375000e-01
        62   -2.8272376132e+00    8.1462417497e+00   -6.5701590670e+00    3.7429214538e+00    1.1592219136e+00   -7.7293809806e+00    1.6000000000e+04    6.2025973413e-02    8.7059375000e-01
        63   -2.8326705006e+00    8.1782206482e+00   -6.7040611491e+00    3.8713906485e+00    1.1259146272e+00   -7.8299757763e+00    1.6000000000e+04    6.2145656638e-02    8.6540625000e-01
        64   -2.8356930977e+00    8.1898642786e+00   -6.4704941034e+00    3.6348010056e+00    1.1188060927e+00   -7.5893001961e+00    1.6000000000e+04    6.2130228581e-02    8.6990625000e-01
        65   -2.8386093235e+00    8.2059934432e+00   -6.5172594003e+00    3.6786500768e+00    1.1224289253e+00   -7.6396883256e+00    1.6000000000e+04    6.1934489763e-02    8.6953125000e-01
        66   -2.8244437088e+00    8.1315342729e+00   -6.5469934264e+00    3.7225497176e+00    1.1522352895e+00   -7.6992287159e+00    1.6000000000e+04    6.1874048638e-02    8.6950000000e-01
        67   -2.8353394293e+00    8.1887549300e+00   -6.3872427182e+00    3.5519032888e+00    1.1294729978e+00   -7.5167157159e+00    1.6000000000e+04    6.2241135563e-02    8.7487500000e-01
        68   -2.8461859246e+00    8.2543755495e+00   -6.3730368887e+00    3.5268509641e+00    1.1170743263e+00   -7.4901112150e+00    1.6000000000e+04    6.1932250369e-02    8.7009375000e-01
        69   -2.8365271283e+00    8.1926617598e+00   -6.4909424460e+00    3.6544153177e+00    1.1252784781e+00   -7.6162209242e+00    1.6000000000e+04    6.2848799200e-02    8.7162500000e-01
        70   -2.8330906800e+00    8.1805480122e+00   -6.5311695104e+00    3.6980788304e+00    1.1350473748e+00   -7.6662168851e+00    1.6000000000e+04    6.2288901706e-02    8.7012500000e-01
        71   -2.8298171882e+00    8.1602686771e+00   -6.5409910506e+00    3.7111738624e+00    1.1463977833e+00   -7.6873888340e+00    1.6000000000e+04    6.2411061444e-02    8.7240625000e-01
        72   -2.8214836481e+00    8.1115085980e+00   -6.4985925157e+00    3.6771088676e+00    1.1577772142e+00   -7.6563697299e+00    1.6000000000e+04    6.2551103819e-02    8.7359375000e-01
        73   -2.8403782126e+00    8.2208665292e+00   -6.5168712820e+00    3.6764930694e+00    1.1272327194e+00   -7.6441040014e+00    1.6000000000e+04    6.1913168075e-02    8.6734375000e-01
        74   -2.8260550848e+00    8.1387952033e+00   -6.5538356784e+00    3.7277805936e+00    1.1460856271e+00   -7.6999213055e+00    1.6000000000e+04    6.2362583906e-02    8.6996875000e-01
        75   -2.8536932435e+00    8.2919834811e+00   -6.4844214995e+00    3.6307282560e+00    1.1118940477e+00   -7.5963155473e+00    1.6000000000e+04    6.2929166031e-02    8.7675000000e-01
