# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
        96   -1.7255622219e+01    2.0841274126e-01    1.0240058976e+04    1.0246000000e+04    1.8750000000e-01   -1.7371136796e+01    9.9509933451e-01    9.9843841499e-01
        97   -1.7261220815e+01    2.2171090264e-01    1.0240117348e+04    1.0233000000e+04    3.7500000000e-01   -1.7118856718e+01    9.9475996813e-01    9.9970683084e-01
        98   -1.7261257268e+01    2.2540451816e-01    1.0240031925e+04    1.0244000000e+04    5.0000000000e-01   -1.7339330560e+01    9.9544722871e-01    9.9795001952e-01
        99   -1.7253593747e+01    2.7550238679e-01    1.0239765457e+04    1.0227000000e+04    5.0000000000e-01   -1.7007189710e+01    9.9512753376e-01    9.9960887846e-01
       100   -1.7253204967e+01    2.3879753223e-01    1.0239977863e+04    1.0238000000e+04    6.2500000000e-01   -1.7214527432e+01    9.9541634149e-01    9.9921859738e-01
       101   -1.7252542748e+01    2.5397553647e-01    1.0237973425e+04    1.0238000000e+04    3.1250000000e-01   -1.7253398416e+01    9.9560409171e-01    9.9990232467e-01
       102   -1.7261467971e+01    5.8192252580e-01    1.0243998377e+04    1.0244000000e+04    2.5000000000e-01   -1.7253789906e+01    9.9580507680e-01    9.9960952753e-01
       103   -1.7252668507e+01    2.2944672864e-01    1.0244012593e+04    1.0244000000e+04    1.8750000000e-01   -1.7253504369e+01    9.9622784942e-01    9.9892620070e-01
       104   -1.7258501314e+01    2.2993864449e-01    1.0242010881e+04    1.0242000000e+04    5.0000000000e-01   -1.7255397652e+01    9.9493895321e-01    9.9960945128e-01
       105   -1.7260264937e+01    2.4037615514e-01    1.0248186470e+04    1.0248000000e+04    4.3750000000e-01   -1.7255476533e+01    9.9521764932e-01    9.9960967994e-01
       106   -1.7260285367e+01    2.3710779035e-01    1.0253159425e+04    1.0253000000e+04    3.7500000000e-01   -1.7256598602e+01    9.9503366551e-01    9.9941480542e-01
       107   -1.7262966061e+01    2.5097888340e-01    1.0251221336e+04    1.0251000000e+04    3.7500000000e-01   -1.7257108527e+01    9.9559626476e-01    9.9941469125e-01
       108   -1.7267693677e+01    2.4438866555e-01    1.0253377416e+04    1.0253000000e+04    1.8750000000e-01   -1.7257834921e+01    9.9538030112e-01    9.9970740271e-01
       109   -1.7269608011e+01    2.4283515419e-01    1.0261438658e+04    1.0261000000e+04    5.6250000000e-01   -1.7259325972e+01    9.9524351000e-01    9.9941526167e-01
       110   -1.7264748379e+01    2.0995351359e-01    1.0264290303e+04    1.0264000000e+04    3.1250000000e-01   -1.7260659937e+01    9.9506142560e-01    9.9931800468e-01
       111   -1.7261995789e+01    2.2390484065e-01    1.0263101604e+04    1.0263000000e+04    3.7500000000e-01   -1.7261588785e+01    9.9525791418e-01    9.9912306343e-01
       112   -1.7261500921e+01    2.3698921302e-01    1.0262004351e+04    1.0262000000e+04    4.3750000000e-01   -1.7261941607e+01    9.9517135794e-01    9.9931787176e-01
       113   -1.7261449202e+01    2.5425508683e-01    1.0264952854e+04    1.0265000000e+04    3.1250000000e-01   -1.7262403160e+01    9.9534714504e-01    9.9912323429e-01
       114   -1.7258959876e+01    2.1962029023e-01    1.0267856397e+04    1.0268000000e+04    3.7500000000e-01   -1.7262805100e+01    9.9540019551e-01    9.9931827035e-01
       115   -1.7253175823e+01    2.3411496571e-01    1.0274618341e+04    1.0275000000e+04    3.7500000000e-01   -1.7263578247e+01    9.9585676384e-01    9.9941605839e-01
       116   -1.7256906078e+01    2.1531123383e-01    1.0270568901e+04    1.0271000000e+04    3.7500000000e-01   -1.7263113488e+01    9.9553184422e-01    9.9863693895e-01
       117   -1.7255640632e+01    2.2743005465e-01    1.0259723586e+04    1.0260000000e+04    3.7500000000e-01   -1.7261635179e+01    9.9638215974e-01    9.9970760234e-01
       118   -1.7261553652e+01    2.5093040813e-01    1.0262830726e+04    1.0263000000e+04    3.1250000000e-01   -1.7261773207e+01    9.9568496112e-01    9.9941537562e-01
       119   -1.7260513816e+01    2.3855787013e-01    1.0264952149e+04    1.0265000000e+04    2.5000000000e-01   -1.7261763379e+01    9.9554356529e-01    9.9970774476e-01
       120   -1.7265833133e+01    2.3833597049e-01    1.0265043206e+04    1.0265000000e+04    1.8750000000e-01   -1.7261874814e+01    9.9506494759e-01    9.9980516318e-01
       121   -1.7260380318e+01    2.8853546987e-01    1.0272038427e+04    1.0272000000e+04    3.7500000000e-01   -1.7262607817e+01    9.9588579647e-01    9.9922118380e-01
       122   -1.7261956001e+01    2.2233393063e-01    1.0275892393e+04    1.0276000000e+04    3.7500000000e-01   -1.7263285578e+01    9.9510131006e-01    9.9931880109e-01
       123   -1.7264108260e+01    2.3900026448e-01    1.0279966780e+04    1.0280000000e+04    2.5000000000e-01   -1.7263701029e+01    9.9577439119e-01    9.9892996109e-01
       124   -1.7267749553e+01    2.6751958921e-01    1.0273092024e+04    1.0273000000e+04    2.5000000000e-01   -1.7263109597e+01    9.9571267079e-01    9.9961062981e-01
       125   -1.7257533350e+01    2.4373475733e-01    1.0274916203e+04    1.0275000000e+04    3.1250000000e-01   -1.7263472908e+01    9.9617698873e-01    9.9931873479e-01
       126   -1.7257612990e+01    2.3163620936e-01    1.0276687695e+04    1.0277000000e+04    1.2500000000e-01   -1.7263963259e+01    9.9532917838e-01    9.9912425805e-01
       127   -1.7257288236e+01    2.3682318233e-01    1.0274670466e+04    1.0275000000e+04    3.7500000000e-01   -1.7263664070e+01    9.9588076702e-01    9.9883211679e-01
