#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
        59   -1.7260364868e+01    2.9814283477e+02   -3.0850658421e+01    1.3590293554e+01   -5.6784388244e+01    1.9211169721e+00    1.7031849605e+01    6.9807632464e+00    1.0315700000e+05    1.2977064968e+00    9.9731142846e-01
        60   -1.7261737017e+01    2.9819574837e+02   -3.0887058954e+01    1.3625321936e+01   -5.6804385166e+01    1.8874862969e+00    1.7049076669e+01    6.9807632464e+00    1.0305800000e+05    1.2545307229e+00    9.9733395721e-01
        61   -1.7262594023e+01    2.9823729414e+02   -3.0846573920e+01    1.3583979897e+01   -5.6754039737e+01    1.8684903825e+00    1.7058212188e+01    6.9807632464e+00    1.0298400000e+05    1.2675368839e+00    9.9744159970e-01
        62   -1.7261104242e+01    2.9817358278e+02   -3.0837075525e+01    1.3575971283e+01   -5.6750793297e+01    1.8780335088e+00    1.7054921017e+01    6.9807632464e+00    1.0286000000e+05    1.2541122594e+00    9.9740953553e-01
        63   -1.7264060322e+01    2.9826778949e+02   -3.0875568177e+01    1.3611507855e+01   -5.6814150369e+01    1.9082667386e+00    1.7049552207e+01    6.9807632464e+00    1.0271800000e+05    1.2461953700e+00    9.9739871264e-01
        64   -1.7259277286e+01    2.9811542684e+02   -3.0837843494e+01    1.3578566208e+01   -5.6754513530e+01    1.8721517524e+00    1.7063755037e+01    6.9807632464e+00    1.0247700000e+05    1.2411605298e+00    9.9746433391e-01
        65   -1.7259460816e+01    2.9811735817e+02   -3.0791954070e+01    1.3532493254e+01   -5.6722756394e+01    1.8842954455e+00    1.7065743632e+01    6.9807632464e+00    1.0246100000e+05    1.2489454603e+00    9.9747240182e-01
        66   -1.7260113567e+01    2.9814152365e+02   -3.0820387575e+01    1.3560274009e+01   -5.6789911462e+01    1.9126364841e+00    1.7076124156e+01    6.9807632464e+00    1.0240800000e+05    1.2461980348e+00    9.9741601351e-01
        67   -1.7258726146e+01    2.9810381645e+02   -3.0789932359e+01    1.3531206213e+01   -5.6779289832e+01    1.9156411483e+00    1.7092953079e+01    6.9807632464e+00    1.0228400000e+05    1.2517655146e+00    9.9734840274e-01
        68   -1.7256727218e+01    2.9806707779e+02   -3.0850321883e+01    1.3593594665e+01   -5.6824684230e+01    1.8994687050e+00    1.7094130396e+01    6.9807632464e+00    1.0219200000e+05    1.2306167684e+00    9.9732519028e-01
        69   -1.7258411229e+01    2.9809006851e+02   -3.0862281066e+01    1.3603869837e+01   -5.6854223365e+01    1.9071723903e+00    1.7104006663e+01    6.9807632464e+00    1.0202600000e+05    1.2826307437e+00    9.9738003430e-01
        70   -1.7254741371e+01    2.9795807178e+02   -3.0929189182e+01    1.3674447811e+01   -5.6887160876e+01    1.8670841630e+00    1.7110124285e+01    6.9807632464e+00    1.0187000000e+05    1.2487880425e+00    9.9739150623e-01
        71   -1.7259083882e+01    2.9811307520e+02   -3.0933560620e+01    1.3674476738e+01   -5.6959896422e+01    1.9361647801e+00    1.7109407775e+01    6.9807632464e+00    1.0172600000e+05    1.2349440734e+00    9.9741370436e-01
        72   -1.7260265824e+01    2.9815268794e+02   -3.0912434434e+01    1.3652168610e+01   -5.6879222539e+01    1.8940722724e+00    1.7091952585e+01    6.9807632464e+00    1.0170000000e+05    1.2317710794e+00    9.9739421437e-01
        73   -1.7254485440e+01    2.9794697005e+02   -3.0894174051e+01    1.3639688611e+01   -5.6833679241e+01    1.8637257035e+00    1.7095016241e+01    6.9807632464e+00    1.0171200000e+05    1.2296980469e+00    9.9733959275e-01
        74   -1.7257431007e+01    2.9806703580e+02   -3.0898293725e+01    1.3640862718e+01   -5.6852364738e+01    1.8779067705e+00    1.7095400996e+01    6.9807632464e+00    1.0152500000e+05    1.2311477756e+00    9.9742948324e-01
        75   -1.7255459259e+01    2.9798715274e+02   -3.0806415265e+01    1.3550956007e+01   -5.6782511051e+01    1.8976538356e+00    1.7097678704e+01    6.9807632464e+00    1.0152100000e+05    1.2405687008e+00    9.9732701359e-01
        76   -1.7261292245e+01    2.9817450117e+02   -3.0843552686e+01    1.3582260441e+01   -5.6855298575e+01    1.9224108467e+00    1.7108571797e+01    6.9807632464e+00    1.0161000000e+05    1.2370829009e+00    9.9742716979e-01
        77   -1.7259416276e+01    2.9810922234e+02   -3.0818173402e+01    1.3558757126e+01   -5.6845925394e+01    1.9321182730e+00    1.7114870473e+01    6.9807632464e+00    1.0174900000e+05    1.2400535244e+00    9.9741857197e-01
        78   -1.7258763151e+01    2.9809546657e+02   -3.0953696736e+01    1.3694933584e+01   -5.6968732942e+01    1.8979220295e+00    1.7136350931e+01    6.9807632464e+00    1.0179300000e+05    1.2277728702e+00    9.9735501539e-01
        79   -1.7255248653e+01    2.9798033215e+02   -3.0986163367e+01    1.3730914713e+01   -5.6973413906e+01    1.8866613687e+00    1.7119825924e+01    6.9807632464e+00    1.0167300000e+05    1.2718201144e+00    9.9747279210e-01
        80   -1.7256492246e+01    2.9802375934e+02   -3.0987533365e+01    1.3731041119e+01   -5.6984734720e+01    1.9217008033e+00    1.7094737305e+01    6.9807632464e+00    1.0158100000e+05    1.2349070153e+00    9.9731362297e-01
        81   -1.7258650333e+01    2.9809989790e+02   -3.0994022803e+01    1.3735372470e+01   -5.6949929903e+01    1.8826869729e+00    1.7092456881e+01    6.9807632464e+00    1.0166400000e+05    1.2382273505e+00    9.9739341999e-01
        82   -1.7259569018e+01    2.9814045343e+02   -3.0928588987e+01    1.3669019969e+01   -5.6940661406e+01    1.9496360107e+00    1.7081673162e+01    6.9807632464e+00    1.0151900000e+05    1.2257699278e+00    9.9734576310e-01
        83   -1.7261725351e+01    2.9820041830e+02   -3.0882347684e+01    1.3620622333e+01   -5.6827494669e+01    1.8860568364e+00    1.7078326902e+01    6.9807632464e+00    1.0160200000e+05    1.2354324854e+00    9.9734430204e-01
        84   -1.7264831318e+01    2.9833145500e+02   -3.0921791781e+01    1.3656960462e+01   -5.6926391309e+01    1.9353678445e+00    1.7088468438e+01    6.9807632464e+00    1.0192800000e+05    1.2574402983e+00    9.9735158821e-01
        85   -1.7264126839e+01    2.9829774714e+02   -3.0925730517e+01    1.3661603678e+01   -5.6887802698e+01    1.9007452900e+00    1.7080563644e+01    6.9807632464e+00    1.0194500000e+05    1.2401738938e+00    9.9743886506e-01
        86   -1.7260254313e+01    2.9816651574e+02   -3.0918383224e+01    1.3658128911e+01   -5.6902094537e+01    1.9309124058e+00    1.7072035661e+01    6.9807632464e+00    1.0198600000e+05    1.2456005913e+00    9.9733653148e-01
        87   -1.7263839207e+01    2.9830848121e+02   -3.0959253130e+01    1.3695413923e+01   -5.6896907442e+01    1.8930294815e+00    1.7063861583e+01    6.9807632464e+00    1.0196200000e+05    1.2354818228e+00    9.9736428413e-01
        88   -1.7259758026e+01    2.9812904417e+02   -3.0887006059e+01    1.3627248033e+01   -5.6822250331e+01    1.9052328346e+00    1.7049248190e+01    6.9807632464e+00    1.0204400000e+05    1.2384040966e+00    9.9749343932e-01
        89   -1.7258804351e+01    2.9810071014e+02   -3.0883973492e+01    1.3625169141e+01   -5.6820893793e+01    1.9075395018e+00    1.7048617553e+01    6.9807632464e+00    1.0209900000e+05    1.2714365280e+00    9.9736646418e-01
        90   -1.7253222880e+01    2.9790007316e+02   -3.0864811719e+01    1.3611588840e+01   -5.6838793348e+01    1.9192575561e+00    1.7073960826e+01    6.9807632464e+00    1.0207600000e+05    1.2282353389e+00    9.9738918015e-01
        91   -1.7257840038e+01    2.9806646158e+02   -3.0858007170e+01    1.3600167132e+01   -5.6795820279e+01    1.8990539362e+00    1.7057995926e+01    6.9807632464e+00    1.0201000000e+05    1.2376091001e+00    9.9737435680e-01
        92   -1.7259812093e+01    2.9814845298e+02   -3.0850469016e+01    1.3590656922e+01   -5.6810137798e+01    1.9120056825e+00    1.7066899853e+01    6.9807632464e+00    1.0190400000e+05    1.2424973286e+00    9.9729549683e-01
        93   -1.7257209354e+01    2.9806184024e+02   -3.0866391562e+01    1.3609182208e+01   -5.6782224661e+01    1.8713132020e+00    1.7063756651e+01    6.9807632464e+00    1.0190400000e+05    1.2348557691e+00    9.9736150732e-01
        94   -1.7257570952e+01    2.9805036282e+02   -3.0884877958e+01    1.3627307006e+01   -5.6841735372e+01    1.9145785702e+00    1.7061515597e+01    6.9807632464e+00    1.0189800000e+05    1.2451219011e+00    9.9742648692e-01
        95   -1.7255005305e+01    2.9796565603e+02   -3.0797865352e+01    1.3542860046e+01   -5.6748815191e+01    1.9107618806e+00    1.7059424712e+01    6.9807632464e+00    1.0185500000e+05    1.2333193349e+00    9.9739585655e-01
        96   -1.7256161536e+01    2.9803915033e+02   -3.0809350105e+01    1.3553188569e+01   -5.6740498082e+01    1.9101224540e+00    1.7040262277e+01    6.9807632464e+00    1.0176000000e+05    1.2444259960e+00    9.9742401523e-01
        97   -1.7258400631e+01    2.9808760348e+02   -3.0799213521e+01    1.3540812890e+01   -5.6748492884e+01    1.9233589373e+00    1.7045157179e+01    6.9807632464e+00    1.0181000000e+05    1.2463517429e+00    9.9740356052e-01
        98   -1.7260552514e+01    2.9817546585e+02   -3.0851612310e+01    1.3591059796e+01   -5.6747956718e+01    1.8792132588e+00    1.7036367902e+01    6.9807632464e+00    1.0166800000e+05    1.2268933747e+00    9.9737896423e-01
        99   -1.7261684540e+01    2.9820809326e+02   -3.0798379758e+01    1.3536695218e+01   -5.6751383174e+01    1.9358033339e+00    1.7036436836e+01    6.9807632464e+00    1.0159700000e+05    1.2714004812e+00    9.9734497199e-01
       100   -1.7261002023e+01    2.9819350023e+02   -3.0858305093e+01    1.3597303071e+01   -5.6864147182e+01    1.9720004150e+00    1.7053078427e+01    6.9807632464e+00    1.0172900000e+05    1.2509010600e+00    9.9741300866e-01
       101   -1.7259260039e+01    2.9813621418e+02   -3.0875225982e+01    1.3615965943e+01   -5.6856546571e+01    1.9474140438e+00    1.7053143299e+01    6.9807632464e+00    1.0184500000e+05    1.2313951844e+00    9.9735742529e-01
       102   -1.7259279607e+01    2.9812246857e+02   -3.0912269917e+01    1.3652990311e+01   -5.6875872675e+01    1.9162301184e+00    1.7066609393e+01    6.9807632464e+00    1.0186900000e+05    1.2361840187e+00    9.9741801333e-01
       103   -1.7262358795e+01    2.9830275927e+02   -3.0852569966e+01    1.3590211171e+01   -5.6849306256e+01    1.9352464362e+00    1.7080726607e+01    6.9807632464e+00    1.0180900000e+05    1.2437851166e+00    9.9738161345e-01
       104   -1.7261019641e+01    2.9818383372e+02   -3.0826036059e+01    1.3565016418e+01   -5.6772468331e+01    1.9043461455e+00    1.7061322880e+01    6.9807632464e+00    1.0176900000e+05    1.2386167894e+00    9.9732340081e-01
       105   -1.7265125869e+01    2.9831214137e+02   -3.0806657215e+01    1.3541531346e+01   -5.6764152166e+01    1.9263586595e+00    1.7050373045e+01    6.9807632464e+00    1.0173000000e+05    1.2339901870e+00    9.9741874991e-01
       106   -1.7262718405e+01    2.9822060635e+02   -3.0835905749e+01    1.3573187343e+01   -5.6772920113e+01    1.9033026050e+00    1.7052948513e+01    6.9807632464e+00    1.0176200000e+05    1.2407461744e+00    9.9738564769e-01
       107   -1.7260567260e+01    2.9815876293e+02   -3.0853915957e+01    1.3593348697e+01   -5.6826430015e+01    1.9521664893e+00    1.7039584322e+01    6.9807632464e+00    1.0194500000e+05    1.2391275898e+00    9.9732922661e-01
       108   -1.7263421387e+01    2.9827460465e+02   -3.0869562930e+01    1.3606141543e+01   -5.6853552002e+01    1.9689889408e+00    1.7034236885e+01    6.9807632464e+00    1.0183200000e+05    1.2327465414e+00    9.9734748742e-01
       109   -1.7263135061e+01    2.9824523592e+02   -3.0930739418e+01    1.3667604357e+01   -5.6842642083e+01    1.9078269269e+00    1.7023312492e+01    6.9807632464e+00    1.0180700000e+05    1.2902474961e+00    9.9724763403e-01
       110   -1.7259956293e+01    2.9814230985e+02   -3.0912753434e+01    1.3652797141e+01   -5.6845031462e+01    1.9196323589e+00    1.7031882422e+01    6.9807632464e+00    1.0178800000e+05    1.2296225854e+00    9.9730045503e-01
       111   -1.7264838796e+01    2.9833103562e+02   -3.0956547478e+01    1.3691708682e+01   -5.6899707999e+01    1.9170050272e+00    1.7045392248e+01    6.9807632464e+00    1.0183700000e+05    1.2392505849e+00    9.9731561722e-01
       112   -1.7265171001e+01    2.9836113323e+02   -3.0956198294e+01    1.3691027293e+01   -5.6922386055e+01    1.9379044003e+00    1.7047520114e+01    6.9807632464e+00    1.0201200000e+05    1.2413799722e+00    9.9736593048e-01
       113   -1.7264075151e+01    2.9828595032e+02   -3.0924193288e+01    1.3660118137e+01   -5.6845898917e+01    1.8712597410e+00    1.7069682642e+01    6.9807632464e+00    1.0211900000e+05    1.2341160337e+00    9.9748841249e-01
       114   -1.7259554526e+01    2.9812630148e+02   -3.0896124436e+01    1.3636569910e+01   -5.6807280106e+01    1.8735492318e+00    1.7056843192e+01    6.9807632464e+00    1.0216300000e+05    1.2438690207e+00    9.9732280069e-01
       115   -1.7264364184e+01    2.9828707340e+02   -3.0822818429e+01    1.3558454245e+01   -5.6728510300e+01    1.8802782226e+00    1.7044650402e+01    6.9807632464e+00    1.0215300000e+05    1.2483276059e+00    9.9752304836e-01
       116   -1.7261716369e+01    2.9821003200e+02   -3.0782939311e+01    1.3521222942e+01   -5.6667537848e+01    1.8734585065e+00    1.7030376784e+01    6.9807632464e+00    1.0219800000e+05    1.2340360646e+00    9.9744635014e-01
