#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            IonIon              ElecElec            BlockWeight         BlockCPU            AcceptRatio         
        57   -8.5470567885e+00    7.3193998922e+01   -1.6093855422e+01    7.5467986338e+00   -1.1797136702e+01   -3.6892268292e+00   -6.0749189076e-01    1.0244300000e+05    2.3971434875e-01    9.9715691054e-01
        58   -8.5520411501e+00    7.3277884759e+01   -1.6119037097e+01    7.5669959466e+00   -1.1825633677e+01   -3.6892268292e+00   -6.0417659080e-01    1.0249200000e+05    2.4506772313e-01    9.9718981875e-01
        59   -8.5492267345e+00    7.3233078128e+01   -1.6126378296e+01    7.5771515617e+00   -1.1843165668e+01   -3.6892268292e+00   -5.9398579914e-01    1.0240100000e+05    2.5086501006e-01    9.9708767518e-01
        60   -8.5474930730e+00    7.3201192059e+01   -1.6105717602e+01    7.5582245287e+00   -1.1826499712e+01   -3.6892268292e+00   -5.8999106012e-01    1.0244200000e+05    2.4375638569e-01    9.9698866145e-01
        61   -8.5488835349e+00    7.3225247529e+01   -1.6202969938e+01    7.6540864032e+00   -1.1933763374e+01   -3.6892268292e+00   -5.7997973447e-01    1.0230000000e+05    2.4656017106e-01    9.9718490342e-01
        62   -8.5515368973e+00    7.3269472950e+01   -1.6208711189e+01    7.6571742915e+00   -1.1936878029e+01   -3.6892268292e+00   -5.8260633009e-01    1.0222000000e+05    2.4440455844e-01    9.9716801513e-01
        63   -8.5509171349e+00    7.3261074031e+01   -1.6140876845e+01    7.5899597105e+00   -1.1863071710e+01   -3.6892268292e+00   -5.8857830598e-01    1.0219500000e+05    2.4654670963e-01    9.9715035189e-01
        64   -8.5493909382e+00    7.3235799495e+01   -1.6055932912e+01    7.5065419740e+00   -1.1788942302e+01   -3.6892268292e+00   -5.7776378107e-01    1.0220800000e+05    2.3783423325e-01    9.9714261791e-01
        65   -8.5473334210e+00    7.3197821551e+01   -1.5943254173e+01    7.3959207516e+00   -1.1656093417e+01   -3.6892268292e+00   -5.9793392658e-01    1.0231100000e+05    2.4563898038e-01    9.9722675775e-01
        66   -8.5510463751e+00    7.3261604741e+01   -1.5978905811e+01    7.4278594354e+00   -1.1702125145e+01   -3.6892268292e+00   -5.8755383614e-01    1.0234800000e+05    2.4109326469e-01    9.9707093593e-01
        67   -8.5496795011e+00    7.3236188322e+01   -1.6049482999e+01    7.4998034979e+00   -1.1764834207e+01   -3.6892268292e+00   -5.9542196294e-01    1.0237500000e+05    2.4177812050e-01    9.9705941239e-01
        68   -8.5484441202e+00    7.3216606861e+01   -1.6055061569e+01    7.5066174485e+00   -1.1771414457e+01   -3.6892268292e+00   -5.9442028240e-01    1.0253200000e+05    2.4508087550e-01    9.9701771081e-01
        69   -8.5494684374e+00    7.3238918245e+01   -1.6090215576e+01    7.5407471387e+00   -1.1804281045e+01   -3.6892268292e+00   -5.9670770230e-01    1.0261100000e+05    2.4598635944e-01    9.9702502462e-01
        70   -8.5494192273e+00    7.3237275758e+01   -1.6075857750e+01    7.5264385229e+00   -1.1789082648e+01   -3.6892268292e+00   -5.9754827311e-01    1.0251100000e+05    2.4659043306e-01    9.9695694466e-01
        71   -8.5459945895e+00    7.3177468279e+01   -1.6060820880e+01    7.5148262907e+00   -1.1777229008e+01   -3.6892268292e+00   -5.9436504275e-01    1.0237300000e+05    2.4498424337e-01    9.9705299747e-01
        72   -8.5486372951e+00    7.3224434670e+01   -1.6175499455e+01    7.6268621598e+00   -1.1909183934e+01   -3.6892268292e+00   -5.7708869140e-01    1.0229600000e+05    2.4301481931e-01    9.9702835054e-01
        73   -8.5495576611e+00    7.3238356372e+01   -1.6105718790e+01    7.5561611294e+00   -1.1834814272e+01   -3.6892268292e+00   -5.8167768931e-01    1.0219200000e+05    2.4169157838e-01    9.9724049077e-01
        74   -8.5494307108e+00    7.3235775191e+01   -1.6083365831e+01    7.5339351200e+00   -1.1808741281e+01   -3.6892268292e+00   -5.8539772045e-01    1.0219300000e+05    2.4288631256e-01    9.9740701300e-01
        75   -8.5485839361e+00    7.3219919987e+01   -1.6054631603e+01    7.5060476672e+00   -1.1775157895e+01   -3.6892268292e+00   -5.9024687877e-01    1.0213500000e+05    2.4177241925e-01    9.9717542336e-01
        76   -8.5512522397e+00    7.3272204061e+01   -1.6134427614e+01    7.5831753739e+00   -1.1858778600e+01   -3.6892268292e+00   -5.8642218405e-01    1.0217100000e+05    2.4634993694e-01    9.9714683956e-01
        77   -8.5503110554e+00    7.3251353065e+01   -1.6152104446e+01    7.6017933905e+00   -1.1867917612e+01   -3.6892268292e+00   -5.9496000442e-01    1.0216000000e+05    2.4843053206e-01    9.9699500086e-01
        78   -8.5488251115e+00    7.3226204578e+01   -1.6159795229e+01    7.6109701177e+00   -1.1876418612e+01   -3.6892268292e+00   -5.9414978839e-01    1.0236100000e+05    2.4544464919e-01    9.9706385064e-01
        79   -8.5494876370e+00    7.3236305704e+01   -1.6247018155e+01    7.6975305183e+00   -1.1973796518e+01   -3.6892268292e+00   -5.8399480764e-01    1.0232100000e+05    2.4367694800e-01    9.9708293638e-01
        80   -8.5474105603e+00    7.3200422714e+01   -1.6191878236e+01    7.6444676757e+00   -1.1924134966e+01   -3.6892268292e+00   -5.7851644054e-01    1.0209900000e+05    2.3905120269e-01    9.9706967657e-01
        81   -8.5477094976e+00    7.3203904381e+01   -1.6142258174e+01    7.5945486763e+00   -1.1866956022e+01   -3.6892268292e+00   -5.8607532302e-01    1.0200600000e+05    2.4593631525e-01    9.9716704713e-01
        82   -8.5538510099e+00    7.3309689871e+01   -1.6194293892e+01    7.6404428824e+00   -1.1918909555e+01   -3.6892268292e+00   -5.8615750840e-01    1.0192500000e+05    2.4050727900e-01    9.9726034269e-01
        83   -8.5535922493e+00    7.3306102924e+01   -1.6324188434e+01    7.7705961848e+00   -1.2064294772e+01   -3.6892268292e+00   -5.7066683327e-01    1.0191400000e+05    2.4367213350e-01    9.9701434184e-01
        84   -8.5528311828e+00    7.3295542803e+01   -1.6244093407e+01    7.6912622239e+00   -1.1980106230e+01   -3.6892268292e+00   -5.7476034721e-01    1.0197100000e+05    2.4300805087e-01    9.9714609460e-01
        85   -8.5513387142e+00    7.3270596269e+01   -1.6209425171e+01    7.6580864566e+00   -1.1948915257e+01   -3.6892268292e+00   -5.7128308464e-01    1.0202100000e+05    2.4322475650e-01    9.9704222835e-01
