# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
        70   -8.5410518473e+00    1.4380380665e-01    1.0239978621e+04    1.0241000000e+04    1.8750000000e-01   -8.5614303273e+00    9.9484482093e-01    9.9921882629e-01
        71   -8.5419916349e+00    1.4462223347e-01    1.0240001474e+04    1.0236000000e+04    1.8750000000e-01   -8.4629115846e+00    9.9547530252e-01    9.9960922235e-01
        72   -8.5375494958e+00    1.4128963905e-01    1.0239905466e+04    1.0243000000e+04    2.5000000000e-01   -8.6005768035e+00    9.9663957303e-01    9.9902372352e-01
        73   -8.5390947039e+00    1.3846577715e-01    1.0240030039e+04    1.0238000000e+04    3.1250000000e-01   -8.4984831806e+00    9.9496368222e-01    9.9931627271e-01
        74   -8.5369832080e+00    1.3862796399e-01    1.0239953186e+04    1.0241000000e+04    4.3750000000e-01   -8.5586250003e+00    9.9378648719e-01    9.9951176643e-01
        75   -8.5388800770e+00    1.4187644002e-01    1.0240108917e+04    1.0249000000e+04    4.3750000000e-01   -8.7126872557e+00    9.9519907994e-01    9.9843887209e-01
        76   -8.5424940075e+00    1.3922259390e-01    1.0240079629e+04    1.0237000000e+04    3.7500000000e-01   -8.4802777423e+00    9.9396656153e-01    9.9960926053e-01
        77   -8.5456443900e+00    1.4135457488e-01    1.0240117524e+04    1.0246000000e+04    2.5000000000e-01   -8.6596471886e+00    9.9464802220e-01    9.9873121218e-01
        78   -8.5475555907e+00    1.4387231555e-01    1.0240035115e+04    1.0237000000e+04    3.7500000000e-01   -8.4870420552e+00    9.9403271372e-01    9.9970694539e-01
        79   -8.5452992785e+00    1.4150137867e-01    1.0239974823e+04    1.0244000000e+04    2.5000000000e-01   -8.6256653358e+00    9.9389874118e-01    9.9921905506e-01
        80   -8.5443999249e+00    1.3933045262e-01    1.0239989156e+04    1.0243000000e+04    3.1250000000e-01   -8.6038844472e+00    9.9399525159e-01    9.9902372352e-01
        81   -8.5471556966e+00    1.4146571019e-01    1.0240049865e+04    1.0237000000e+04    3.1250000000e-01   -8.4857975901e+00    9.9454946492e-01    9.9941389079e-01
        82   -8.5402914501e+00    1.3739249311e-01    1.0239854642e+04    1.0245000000e+04    4.3750000000e-01   -8.6447881125e+00    9.9453638430e-01    9.9912152269e-01
        83   -8.5426819508e+00    1.3988437332e-01    1.0240049933e+04    1.0239000000e+04    2.5000000000e-01   -8.5207592464e+00    9.9421235126e-01    9.9921867370e-01
        84   -8.5433320722e+00    1.4195365551e-01    1.0239998398e+04    1.0236000000e+04    3.7500000000e-01   -8.4645416881e+00    9.9565196235e-01    9.9921844470e-01
        85   -8.5449188060e+00    1.4111966407e-01    1.0240031042e+04    1.0238000000e+04    3.1250000000e-01   -8.5042657570e+00    9.9519457568e-01    9.9960929869e-01
        86   -8.5472636820e+00    1.4340041847e-01    1.0240099706e+04    1.0246000000e+04    3.7500000000e-01   -8.6620719872e+00    9.9556669345e-01    9.9902400937e-01
        87   -8.5479592903e+00    1.4124237975e-01    1.0240062891e+04    1.0246000000e+04    2.5000000000e-01   -8.6644168631e+00    9.9467308636e-01    9.9951200468e-01
        88   -8.5488945118e+00    1.3998586339e-01    1.0240047012e+04    1.0246000000e+04    1.8750000000e-01   -8.6651124714e+00    9.9479888173e-01    9.9970720281e-01
        89   -8.5486736403e+00    1.4033266400e-01    1.0240024568e+04    1.0247000000e+04    1.2500000000e-01   -8.6855665530e+00    9.9403838239e-01    9.9902410462e-01
        90   -8.5493838072e+00    1.4249141653e-01    1.0240029020e+04    1.0241000000e+04    3.7500000000e-01   -8.5682039367e+00    9.9464831553e-01    9.9941411971e-01
        91   -8.5523018907e+00    1.3919753874e-01    1.0240045579e+04    1.0236000000e+04    6.2500000000e-02   -8.4712435444e+00    9.9508771611e-01    9.9960922235e-01
        92   -8.5516232556e+00    1.3837166334e-01    1.0239993575e+04    1.0241000000e+04    3.1250000000e-01   -8.5718321871e+00    9.9541069416e-01    9.9941411971e-01
        93   -8.5498369484e+00    1.4279348841e-01    1.0239945566e+04    1.0239000000e+04    1.8750000000e-01   -8.5320910519e+00    9.9405912811e-01    9.9921867370e-01
        94   -8.5509988795e+00    1.4318501668e-01    1.0240042912e+04    1.0241000000e+04    4.3750000000e-01   -8.5693672448e+00    9.9484875333e-01    9.9941411971e-01
        95   -8.5529236484e+00    1.4609731651e-01    1.0240035546e+04    1.0238000000e+04    3.1250000000e-01   -8.5119325643e+00    9.9603039918e-01    9.9941394804e-01
        96   -8.5544860203e+00    1.4510445482e-01    1.0240017822e+04    1.0236000000e+04    2.5000000000e-01   -8.4747833856e+00    9.9440344034e-01    9.9941383353e-01
        97   -8.5539996081e+00    1.4747139194e-01    1.0240011206e+04    1.0243000000e+04    5.0000000000e-01   -8.6130711889e+00    9.9439820306e-01    9.9931660646e-01
        98   -8.5582218877e+00    1.4692800228e-01    1.0240115239e+04    1.0242000000e+04    3.1250000000e-01   -8.5930582939e+00    9.9510177630e-01    9.9921890256e-01
        99   -8.5568103024e+00    1.4354196113e-01    1.0239979152e+04    1.0242000000e+04    3.7500000000e-01   -8.5972805735e+00    9.9501896918e-01    9.9921890256e-01
       100   -8.5617280982e+00    1.4412163387e-01    1.0240128978e+04    1.0241000000e+04    3.7500000000e-01   -8.5763405988e+00    9.9534111791e-01    9.9941411971e-01
       101   -8.5591691453e+00    1.4379040343e-01    1.0242171439e+04    1.0242000000e+04    3.1250000000e-01   -8.5570055958e+00    9.9559964644e-01    9.9931653974e-01
       102   -8.5585083863e+00    1.4591242047e-01    1.0239981364e+04    1.0240000000e+04    1.8750000000e-01   -8.5592692003e+00    9.9506879117e-01    9.9951171875e-01
       103   -8.5587468933e+00    1.4582336737e-01    1.0242954685e+04    1.0243000000e+04    3.7500000000e-01   -8.5595287745e+00    9.9548296295e-01    9.9931660646e-01
       104   -8.5564268746e+00    1.4794554030e-01    1.0243908424e+04    1.0244000000e+04    3.1250000000e-01   -8.5594445318e+00    9.9487522266e-01    9.9960952753e-01
       105   -8.5569840234e+00    1.4770224092e-01    1.0243860949e+04    1.0244000000e+04    1.8750000000e-01   -8.5593831138e+00    9.9516671525e-01    9.9941429129e-01
       106   -8.5530292977e+00    1.4250215179e-01    1.0242801868e+04    1.0243000000e+04    1.8750000000e-01   -8.5588578759e+00    9.9570975632e-01    9.9921897881e-01
       107   -8.5561606092e+00    1.4571887951e-01    1.0238813733e+04    1.0239000000e+04    3.1250000000e-01   -8.5582414423e+00    9.9534768092e-01    9.9960933685e-01
       108   -8.5523642701e+00    1.4802231367e-01    1.0242812946e+04    1.0243000000e+04    2.5000000000e-01   -8.5579683035e+00    9.9462847528e-01    9.9912135117e-01
       109   -8.5522143318e+00    1.4540762296e-01    1.0238738036e+04    1.0239000000e+04    4.3750000000e-01   -8.5574094090e+00    9.9435339351e-01    9.9921867370e-01
       110   -8.5522390118e+00    1.5041189824e-01    1.0235776750e+04    1.0236000000e+04    2.5000000000e-01   -8.5566020887e+00    9.9524846477e-01    9.9882766706e-01
       111   -8.5549416486e+00    1.5055540940e-01    1.0233884219e+04    1.0234000000e+04    5.0000000000e-01   -8.5559722755e+00    9.9368738420e-01    9.9941371898e-01
       112   -8.5586025068e+00    1.5018803524e-01    1.0236044494e+04    1.0236000000e+04    3.1250000000e-01   -8.5558077357e+00    9.9480931923e-01    9.9931613912e-01
       113   -8.5571486169e+00    1.5297026526e-01    1.0234120987e+04    1.0234000000e+04    3.7500000000e-01   -8.5555156517e+00    9.9517798558e-01    9.9970685949e-01
       114   -8.5548913342e+00    1.4968133479e-01    1.0235003240e+04    1.0235000000e+04    1.8750000000e-01   -8.5557919852e+00    9.9459580610e-01    9.9921836834e-01
       115   -8.5572771293e+00    1.4627568327e-01    1.0232029069e+04    1.0232000000e+04    3.7500000000e-01   -8.5555567124e+00    9.9472861309e-01    9.9931587177e-01
       116   -8.5561230378e+00    1.4444319873e-01    1.0233054948e+04    1.0233000000e+04    3.7500000000e-01   -8.5555640069e+00    9.9456151380e-01    9.9931593863e-01
       117   -8.5532112338e+00    1.4905840517e-01    1.0228964728e+04    1.0229000000e+04    2.5000000000e-01   -8.5552335850e+00    9.9492183284e-01    9.9921790986e-01
       118   -8.5552254234e+00    1.4554856548e-01    1.0227948427e+04    1.0228000000e+04    3.7500000000e-01   -8.5551255221e+00    9.9451024930e-01    9.9921783340e-01
       119   -8.5500232717e+00    1.4296702636e-01    1.0229876458e+04    1.0230000000e+04    5.6250000000e-01   -8.5551585789e+00    9.9487003326e-01    9.9970674487e-01
       120   -8.5521429097e+00    1.4663460267e-01    1.0230784331e+04    1.0231000000e+04    1.8750000000e-01   -8.5552108160e+00    9.9590589462e-01    9.9970677353e-01
       121   -8.5527620564e+00    1.4715860684e-01    1.0236854509e+04    1.0237000000e+04    3.7500000000e-01   -8.5555082001e+00    9.9482540069e-01    9.9931620592e-01
       122   -8.5501058258e+00    1.4632883367e-01    1.0236800459e+04    1.0237000000e+04    3.1250000000e-01   -8.5553419136e+00    9.9514413847e-01    9.9931620592e-01
       123   -8.5478328784e+00    1.4371534109e-01    1.0234686991e+04    1.0235000000e+04    3.1250000000e-01   -8.5550216174e+00    9.9570943134e-01    9.9902296043e-01
       124   -8.5437437794e+00    1.4109258439e-01    1.0231558359e+04    1.0232000000e+04    3.1250000000e-01   -8.5545032879e+00    9.9338210378e-01    9.9941360438e-01
       125   -8.5450697656e+00    1.4403304519e-01    1.0232501729e+04    1.0233000000e+04    3.1250000000e-01   -8.5543029372e+00    9.9450347649e-01    9.9970683084e-01
       126   -8.5485657325e+00    1.4737094125e-01    1.0232632640e+04    1.0233000000e+04    1.8750000000e-01   -8.5538705147e+00    9.9468670819e-01    9.9980455389e-01
       127   -8.5504878939e+00    1.4572364711e-01    1.0239761666e+04    1.0240000000e+04    3.1250000000e-01   -8.5542030615e+00    9.9507855648e-01    9.9902343750e-01
       128   -8.5518172697e+00    1.4906504445e-01    1.0236871985e+04    1.0237000000e+04    4.3750000000e-01   -8.5537087167e+00    9.9404246246e-01    9.9951157566e-01
       129   -8.5511080530e+00    1.5029680202e-01    1.0238884880e+04    1.0239000000e+04    3.1250000000e-01   -8.5537829006e+00    9.9446384605e-01    9.9921867370e-01
       130   -8.5551522876e+00    1.4921481217e-01    1.0235986548e+04    1.0236000000e+04    3.7500000000e-01   -8.5534210839e+00    9.9403259453e-01    9.9872997265e-01
       131   -8.5576671931e+00    1.5055780029e-01    1.0230190726e+04    1.0230000000e+04    3.7500000000e-01   -8.5527475284e+00    9.9470400470e-01    9.9843597263e-01
       132   -8.5527673608e+00    1.4649246029e-01    1.0220178658e+04    1.0220000000e+04    4.3750000000e-01   -8.5518141495e+00    9.9456211599e-01    9.9941291585e-01
       133   -8.5523777131e+00    1.4780908167e-01    1.0218039154e+04    1.0218000000e+04    1.8750000000e-01   -8.5517365571e+00    9.9468223537e-01    9.9960853396e-01
       134   -8.5505276309e+00    1.4662893980e-01    1.0222963734e+04    1.0223000000e+04    3.7500000000e-01   -8.5521928304e+00    9.9479960507e-01    9.9941308813e-01
       135   -8.5485094356e+00    1.4222396703e-01    1.0221866824e+04    1.0222000000e+04    3.1250000000e-01   -8.5520528169e+00    9.9548129565e-01    9.9911954608e-01
       136   -8.5496734687e+00    1.4495793106e-01    1.0221853486e+04    1.0222000000e+04    3.7500000000e-01   -8.5519615795e+00    9.9500431796e-01    9.9960868715e-01
       137   -8.5482604918e+00    1.4382834694e-01    1.0222845472e+04    1.0223000000e+04    1.8750000000e-01   -8.5519185515e+00    9.9551867701e-01    9.9941308813e-01
       138   -8.5481738327e+00    1.4354653715e-01    1.0229796554e+04    1.0230000000e+04    3.7500000000e-01   -8.5525002419e+00    9.9561905847e-01    9.9980449658e-01
       139   -8.5484520952e+00    1.4469165504e-01    1.0235761053e+04    1.0236000000e+04    1.8750000000e-01   -8.5529528164e+00    9.9415342493e-01    9.9882766706e-01
       140   -8.5467665134e+00    1.4723050699e-01    1.0231764825e+04    1.0232000000e+04    5.0000000000e-01   -8.5524327203e+00    9.9401330414e-01    9.9960906959e-01
       141   -8.5511246512e+00    1.4861260784e-01    1.0235807537e+04    1.0236000000e+04    2.5000000000e-01   -8.5527074236e+00    9.9440686123e-01    9.9902305588e-01
       142   -8.5507660296e+00    1.5022110224e-01    1.0230944467e+04    1.0231000000e+04    2.5000000000e-01   -8.5520680795e+00    9.9459611872e-01    9.9912032059e-01
       143   -8.5539205026e+00    1.4491544861e-01    1.0231020581e+04    1.0231000000e+04    4.3750000000e-01   -8.5520256907e+00    9.9482478528e-01    9.9931580491e-01
       144   -8.5500699935e+00    1.4242919538e-01    1.0229008478e+04    1.0229000000e+04    3.1250000000e-01   -8.5517815746e+00    9.9535307382e-01    9.9941343240e-01
       145   -8.5473926846e+00    1.4725542532e-01    1.0227845087e+04    1.0228000000e+04    1.8750000000e-01   -8.5517074560e+00    9.9501387017e-01    9.9931560422e-01
       146   -8.5480810148e+00    1.4430486273e-01    1.0227805847e+04    1.0228000000e+04    2.5000000000e-01   -8.5516463685e+00    9.9439451659e-01    9.9951114587e-01
       147   -8.5450494016e+00    1.4133508584e-01    1.0230729891e+04    1.0231000000e+04    3.7500000000e-01   -8.5518241859e+00    9.9435914013e-01    9.9951128922e-01
       148   -8.5505745678e+00    1.4378004480e-01    1.0232786035e+04    1.0233000000e+04    3.7500000000e-01   -8.5519233498e+00    9.9370895781e-01    9.9941366168e-01
       149   -8.5476441359e+00    1.4493671716e-01    1.0235853390e+04    1.0236000000e+04    5.0000000000e-01   -8.5520622357e+00    9.9392075050e-01    9.9853458382e-01
       150   -8.5455468147e+00    1.4324777229e-01    1.0227772622e+04    1.0228000000e+04    3.7500000000e-01   -8.5512428074e+00    9.9426578214e-01    9.9931560422e-01
       151   -8.5464384674e+00    1.4242064571e-01    1.0226746198e+04    1.0227000000e+04    3.7500000000e-01   -8.5510514782e+00    9.9417027552e-01    9.9970665884e-01
       152   -8.5463934483e+00    1.4659648315e-01    1.0230750362e+04    1.0231000000e+04    2.5000000000e-01   -8.5513122348e+00    9.9473165827e-01    9.9941354706e-01
       153   -8.5470795475e+00    1.4427568097e-01    1.0228778769e+04    1.0229000000e+04    2.5000000000e-01   -8.5510081831e+00    9.9470898234e-01    9.9941343240e-01
       154   -8.5483695174e+00    1.4350200657e-01    1.0227841808e+04    1.0228000000e+04    1.8750000000e-01   -8.5508050553e+00    9.9438709213e-01    9.9941337505e-01
       155   -8.5435490243e+00    1.4105555931e-01    1.0228754527e+04    1.0229000000e+04    4.3750000000e-01   -8.5508137656e+00    9.9463191089e-01    9.9970671620e-01
       156   -8.5416762294e+00    1.3928957514e-01    1.0227580920e+04    1.0228000000e+04    1.8750000000e-01   -8.5506531594e+00    9.9536955916e-01    9.9951114587e-01
       157   -8.5474687097e+00    1.4272443014e-01    1.0228695205e+04    1.0229000000e+04    1.8750000000e-01   -8.5506057203e+00    9.9482962237e-01    9.9912014860e-01
       158   -8.5518284204e+00    1.4563323273e-01    1.0225982400e+04    1.0226000000e+04    4.3750000000e-01   -8.5501399057e+00    9.9405317377e-01    9.9960884021e-01
       159   -8.5460723967e+00    1.4562917778e-01    1.0229922418e+04    1.0230000000e+04    3.7500000000e-01   -8.5504625260e+00    9.9452666481e-01    9.9931573803e-01
       160   -8.5524810628e+00    1.4476769420e-01    1.0226950659e+04    1.0227000000e+04    3.1250000000e-01   -8.5501757088e+00    9.9441252307e-01    9.9941331769e-01
